CD_UF;NM_UF;SIGLA_UF;NM_REGIA
53;Distrito Federal;DF;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
52;Goiás;GO;Centro-oeste
